age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y;y_binary;predicted_prob
38;management;single;tertiary;no;493;yes;no;cellular;11;may;553;1;367;7;failure;no;0;0.229331900732929
49;technician;married;secondary;no;5996;no;no;telephone;21;nov;345;2;-1;0;unknown;no;0;0.144695017904225
57;services;single;primary;no;3777;yes;no;telephone;13;may;65;2;-1;0;unknown;no;0;0.0612670478727364
34;management;single;secondary;no;524;no;no;unknown;13;aug;9;1;-1;0;unknown;no;0;0.038533072563751
32;management;single;tertiary;no;574;yes;no;cellular;14;apr;259;2;145;3;failure;no;0;0.0794565308640701
37;blue-collar;married;secondary;no;427;yes;yes;unknown;9;jun;371;3;-1;0;unknown;no;0;0.110226718692547
33;self-employed;married;tertiary;no;483;yes;no;cellular;3;feb;280;2;-1;0;unknown;no;0;0.0860200165736529
56;unemployed;married;primary;no;3391;no;no;cellular;21;apr;243;1;-1;0;unknown;yes;1;0.118194767132281
27;housemaid;married;primary;no;0;yes;no;cellular;23;jul;435;3;-1;0;unknown;no;0;0.11877902023524
21;student;single;secondary;no;2488;no;no;cellular;30;jun;258;6;169;3;success;yes;1;0.0488013988356903
58;management;married;tertiary;no;1517;yes;no;telephone;29;jul;7;5;-1;0;unknown;no;0;0.035818515352403
32;self-employed;married;secondary;no;217;yes;yes;cellular;15;jul;317;5;-1;0;unknown;no;0;0.0715616621688261
33;blue-collar;single;secondary;no;22;no;no;cellular;30;jan;76;2;207;1;failure;no;0;0.0428322789308688
25;student;single;secondary;no;331;no;no;telephone;26;aug;170;4;-1;0;unknown;yes;1;0.044041397476634
25;technician;single;secondary;no;505;no;yes;cellular;17;nov;386;2;-1;0;unknown;yes;1;0.110071441809004
30;services;married;secondary;no;1808;yes;no;cellular;18;may;83;2;-1;0;unknown;no;0;0.0440546963152343
22;admin.;single;secondary;no;4111;no;yes;cellular;19;aug;65;1;-1;0;unknown;no;0;0.0436142382085403
39;blue-collar;married;primary;no;52;no;no;cellular;13;aug;69;1;-1;0;unknown;no;0;0.0499166228933242
46;management;divorced;tertiary;no;25;no;no;unknown;17;jun;564;2;-1;0;unknown;no;0;0.234908883880285
31;admin.;divorced;secondary;no;1890;yes;no;cellular;21;jul;588;1;-1;0;unknown;no;0;0.241263885171111
45;blue-collar;married;primary;no;419;no;no;cellular;18;aug;113;4;-1;0;unknown;no;0;0.0469416177601494
32;technician;married;secondary;no;2693;yes;no;unknown;21;may;16;1;-1;0;unknown;no;0;0.0405241199657429
36;blue-collar;married;secondary;no;-231;no;yes;cellular;15;jul;779;2;-1;0;unknown;no;0;0.365779369814417
51;management;single;tertiary;yes;-55;yes;no;cellular;11;may;281;2;266;6;failure;no;0;0.106130721534239
34;self-employed;single;tertiary;no;462;no;no;cellular;21;aug;1877;3;-1;0;unknown;yes;1;0.963576145760169
24;unemployed;single;secondary;no;119;no;no;unknown;15;sep;51;1;-1;0;unknown;no;0;0.0387560021341856
45;technician;single;secondary;no;586;no;yes;cellular;28;jul;32;3;-1;0;unknown;no;0;0.039426457317547
32;blue-collar;single;secondary;no;228;no;no;telephone;5;feb;176;1;288;3;failure;no;0;0.0658607506760664
77;retired;divorced;tertiary;no;4659;no;no;cellular;14;apr;161;1;-1;0;unknown;yes;1;0.120304325298317
41;blue-collar;married;primary;no;168;yes;no;cellular;18;nov;187;3;-1;0;unknown;no;0;0.0628995696924219
37;blue-collar;married;primary;no;0;yes;no;unknown;26;may;24;1;-1;0;unknown;no;0;0.0416519426707363
43;blue-collar;married;unknown;yes;-715;yes;no;unknown;30;may;67;3;-1;0;unknown;no;0;0.0420083765265083
48;admin.;married;unknown;no;0;yes;no;cellular;8;may;85;1;168;2;failure;no;0;0.0590233244686542
27;technician;single;secondary;no;769;yes;no;unknown;9;may;317;2;-1;0;unknown;no;0;0.0907872637287456
33;management;single;tertiary;no;0;no;no;cellular;28;aug;236;10;-1;0;unknown;no;0;0.0333708770185075
29;admin.;single;secondary;no;428;yes;yes;cellular;7;may;54;1;345;2;failure;no;0;0.0420808715045806
34;management;single;tertiary;no;0;no;no;cellular;5;feb;71;1;-1;0;unknown;no;0;0.0470836721290601
52;management;married;tertiary;no;-970;yes;no;cellular;4;feb;489;1;-1;0;unknown;yes;1;0.215866499692388
60;management;married;unknown;no;6313;no;no;unknown;19;jun;39;2;-1;0;unknown;no;0;0.0618744817872176
32;management;divorced;tertiary;no;948;no;no;cellular;12;aug;204;2;-1;0;unknown;no;0;0.0667491061081607
32;management;single;tertiary;no;0;yes;no;cellular;22;jul;455;2;-1;0;unknown;no;0;0.146679370193947
56;services;divorced;unknown;no;1877;yes;no;unknown;30;may;86;1;-1;0;unknown;no;0;0.0684464292591116
31;management;single;tertiary;no;874;yes;no;cellular;18;nov;190;2;-1;0;unknown;no;0;0.0627806515743933
42;admin.;married;secondary;no;323;yes;yes;unknown;8;may;280;2;-1;0;unknown;no;0;0.0956841538974558
35;management;married;tertiary;no;106;no;yes;cellular;11;aug;588;2;-1;0;unknown;no;0;0.224317851428098
56;retired;married;primary;no;1906;no;yes;unknown;19;jun;45;9;-1;0;unknown;no;0;0.0268535817869628
48;technician;married;secondary;no;1152;yes;no;cellular;21;jul;168;5;-1;0;unknown;no;0;0.0542253540804057
46;admin.;married;secondary;no;179;yes;no;cellular;29;jan;194;4;436;1;other;no;0;0.0622281071480687
37;technician;single;unknown;no;391;yes;no;unknown;8;may;103;3;-1;0;unknown;no;0;0.0451795089640411
41;entrepreneur;married;unknown;no;89;yes;no;unknown;6;may;333;2;-1;0;unknown;no;0;0.111523077944629
36;management;single;tertiary;no;442;yes;yes;cellular;29;jul;102;3;-1;0;unknown;no;0;0.0445041466439331
45;unemployed;divorced;primary;yes;-249;yes;yes;unknown;1;jul;92;1;-1;0;unknown;no;0;0.057841522742723
55;entrepreneur;married;secondary;no;8104;no;no;cellular;6;feb;213;2;-1;0;unknown;no;0;0.107458425479185
39;technician;married;secondary;no;501;no;no;unknown;26;may;289;1;-1;0;unknown;no;0;0.10474012592164
35;technician;divorced;secondary;no;308;no;no;cellular;22;aug;77;2;-1;0;unknown;no;0;0.0444028284521409
55;admin.;married;secondary;no;602;no;no;cellular;1;jun;324;3;90;2;success;yes;1;0.118107847034006
55;technician;married;secondary;no;273;yes;no;cellular;29;jan;84;3;183;3;failure;no;0;0.0531616184547268
27;self-employed;single;secondary;no;50;no;no;cellular;29;jan;168;1;-1;0;unknown;no;0;0.0599445852275103
34;technician;married;secondary;no;1641;yes;no;cellular;17;apr;380;1;-1;0;unknown;no;0;0.134947826318556
34;blue-collar;married;tertiary;no;20;no;no;unknown;4;oct;10;1;-1;0;unknown;no;0;0.0382003572694213
25;admin.;single;secondary;no;4590;yes;no;unknown;28;may;199;2;-1;0;unknown;no;0;0.0654503849935331
41;admin.;single;secondary;no;-256;no;yes;unknown;9;may;35;3;-1;0;unknown;no;0;0.0370685290888868
43;services;married;secondary;no;978;yes;yes;unknown;26;may;82;2;-1;0;unknown;no;0;0.0508499599334292
28;management;single;tertiary;no;80;no;no;cellular;20;oct;676;2;146;2;failure;yes;1;0.265068684671207
31;admin.;single;secondary;no;2104;yes;no;unknown;3;jun;455;1;-1;0;unknown;no;0;0.165536356977244
78;housemaid;married;secondary;no;499;no;no;telephone;16;mar;80;4;-1;0;unknown;no;0;0.0639767466732899
45;blue-collar;divorced;secondary;no;1269;yes;no;cellular;29;jan;549;2;-1;0;unknown;no;0;0.228472419616057
48;technician;married;tertiary;no;310;no;no;unknown;6;may;135;1;-1;0;unknown;no;0;0.0703164813965115
32;blue-collar;single;secondary;no;1143;yes;yes;cellular;10;jul;412;1;-1;0;unknown;no;0;0.143999963626763
42;technician;married;secondary;no;2980;no;no;unknown;20;jun;101;3;-1;0;unknown;no;0;0.0508821956890249
37;management;single;tertiary;no;37;no;no;cellular;28;jan;253;2;-1;0;unknown;no;0;0.0818530113631141
40;admin.;single;secondary;no;462;yes;yes;cellular;6;apr;272;1;335;4;other;no;0;0.100277493743409
32;admin.;married;secondary;no;1031;yes;no;cellular;17;jul;84;1;-1;0;unknown;no;0;0.0491685123170454
42;management;married;tertiary;no;9009;no;no;cellular;20;nov;135;2;-1;0;unknown;no;0;0.0724858344626893
43;admin.;married;secondary;no;-465;yes;yes;cellular;23;jul;166;1;-1;0;unknown;no;0;0.0719390552919688
44;admin.;married;secondary;no;5181;yes;yes;cellular;31;jul;18;7;-1;0;unknown;no;0;0.027697396385715
37;admin.;married;secondary;no;176;yes;no;cellular;5;may;147;2;347;1;failure;no;0;0.0576345417843555
37;unknown;married;unknown;no;1699;no;no;unknown;9;jun;63;1;-1;0;unknown;no;0;0.0495741419415729
37;admin.;married;tertiary;no;0;yes;no;cellular;17;nov;65;2;119;1;failure;no;0;0.0434019328661676
28;technician;single;tertiary;no;172;yes;yes;cellular;2;feb;194;2;-1;0;unknown;no;0;0.0602650631518866
32;services;single;secondary;no;0;no;yes;cellular;11;jul;333;2;-1;0;unknown;no;0;0.0998755868342724
34;admin.;single;secondary;no;6979;yes;no;cellular;15;may;14;5;-1;0;unknown;no;0;0.0306488760852786
40;admin.;divorced;secondary;no;6;no;no;unknown;11;jun;140;1;-1;0;unknown;no;0;0.0642148960559873
34;services;married;secondary;no;-62;yes;no;unknown;16;jun;109;3;-1;0;unknown;no;0;0.0438956884888279
34;self-employed;married;tertiary;no;1972;yes;no;cellular;23;jul;61;2;-1;0;unknown;no;0;0.0431784266363048
34;admin.;married;tertiary;no;899;yes;no;telephone;19;nov;377;3;7;4;success;no;0;0.109538601847306
37;services;single;secondary;no;21;yes;no;cellular;2;feb;96;1;271;2;other;no;0;0.0533017929572236
36;technician;married;secondary;no;23;yes;no;cellular;8;may;152;2;347;1;failure;no;0;0.0576702111934259
56;retired;married;secondary;no;-1206;yes;no;cellular;15;jun;382;2;-1;0;unknown;yes;1;0.150584989187615
49;blue-collar;married;primary;no;0;yes;yes;telephone;23;jul;97;6;-1;0;unknown;no;0;0.0379399553275578
33;self-employed;married;secondary;no;215;yes;no;cellular;29;jul;543;12;-1;0;unknown;no;0;0.0781672275536982
30;management;single;tertiary;no;1372;no;no;cellular;20;nov;240;2;-1;0;unknown;no;0;0.0741325322147565
36;services;married;secondary;no;1981;no;no;unknown;17;jun;48;2;-1;0;unknown;no;0;0.0423797291112971
23;student;single;secondary;no;9216;no;no;cellular;5;jun;471;2;-1;0;unknown;no;0;0.168811086275392
57;retired;divorced;secondary;no;39;yes;no;cellular;30;jul;354;3;-1;0;unknown;no;0;0.131243936842942
27;blue-collar;single;secondary;no;5563;yes;no;unknown;30;may;435;2;-1;0;unknown;no;0;0.146692167255577
38;services;married;secondary;no;1;no;yes;cellular;21;nov;152;2;-1;0;unknown;no;0;0.0591196471089405
42;technician;married;tertiary;no;782;no;no;cellular;3;apr;285;1;-1;0;unknown;no;0;0.107879456938755
75;retired;married;secondary;no;3771;no;no;telephone;15;apr;185;1;181;2;success;yes;1;0.124273957848546
34;technician;single;tertiary;no;992;yes;no;cellular;4;may;301;1;88;2;success;no;0;0.103625325490788
48;technician;married;secondary;no;1526;no;no;cellular;6;aug;273;2;-1;0;unknown;no;0;0.103361919131291
35;technician;single;tertiary;no;2658;yes;no;cellular;19;aug;768;2;141;3;failure;yes;1;0.370276580257542
39;management;divorced;tertiary;no;1315;yes;no;cellular;19;nov;1337;4;126;1;failure;no;0;0.789592045819721
29;blue-collar;single;tertiary;no;455;no;no;telephone;21;apr;403;1;-1;0;unknown;yes;1;0.133272983860032
45;technician;single;tertiary;no;0;yes;no;cellular;18;nov;139;2;-1;0;unknown;no;0;0.06181925659505
42;technician;married;secondary;no;2030;yes;yes;cellular;9;jul;196;1;-1;0;unknown;no;0;0.0831198266128748
29;technician;married;secondary;no;1599;yes;no;cellular;8;jul;115;1;61;1;failure;no;0;0.0533012743974854
38;services;single;secondary;no;-196;yes;no;cellular;2;feb;60;1;271;1;failure;no;0;0.0475097208391021
56;retired;married;secondary;no;1333;no;no;cellular;28;aug;17;14;-1;0;unknown;no;0;0.0144070645542075
36;technician;single;secondary;no;9149;yes;no;cellular;13;aug;141;3;-1;0;unknown;no;0;0.0624476634852338
25;blue-collar;single;secondary;no;-350;yes;no;unknown;23;jun;95;3;-1;0;unknown;no;0;0.0369838391674599
38;technician;married;tertiary;no;432;yes;no;cellular;15;may;10;2;373;1;other;no;0;0.03675789932103
57;self-employed;married;secondary;no;11494;no;no;cellular;19;nov;198;1;-1;0;unknown;no;0;0.124012871126135
31;management;married;tertiary;yes;-253;no;no;cellular;12;aug;220;4;-1;0;unknown;no;0;0.0556160475677971
42;management;married;tertiary;no;372;yes;no;cellular;3;aug;654;2;-1;0;unknown;yes;1;0.288427578879872
45;technician;married;secondary;no;1410;no;no;cellular;11;aug;71;2;-1;0;unknown;no;0;0.0507655877658641
30;blue-collar;married;secondary;no;975;yes;no;cellular;13;may;256;2;351;2;failure;no;0;0.0774577750119256
49;blue-collar;married;primary;no;305;yes;yes;telephone;10;jul;834;10;-1;0;unknown;no;0;0.269403050872079
49;services;married;secondary;no;400;no;no;cellular;21;aug;151;3;-1;0;unknown;no;0;0.0619797609834363
53;retired;married;tertiary;no;-22;yes;no;cellular;31;jul;20;3;-1;0;unknown;no;0;0.0413399710643289
37;technician;married;secondary;no;4030;yes;no;unknown;26;may;178;5;-1;0;unknown;no;0;0.0522025293253857
49;blue-collar;married;primary;no;365;no;no;unknown;26;may;59;2;-1;0;unknown;no;0;0.050030140692399
41;self-employed;married;primary;no;204;no;no;cellular;13;aug;111;7;-1;0;unknown;no;0;0.032625003038742
54;management;married;primary;no;1691;yes;no;cellular;20;nov;186;1;-1;0;unknown;no;0;0.0924921381914162
32;services;single;secondary;no;406;yes;no;unknown;6;may;227;1;-1;0;unknown;no;0;0.0783738844915597
33;technician;married;secondary;no;-204;no;no;cellular;15;may;297;3;-1;0;unknown;no;0;0.0813953909574311
33;technician;married;secondary;no;359;yes;no;cellular;20;apr;210;1;242;1;other;no;0;0.0749267248815607
36;blue-collar;married;primary;no;123;yes;no;cellular;18;may;9;1;-1;0;unknown;no;0;0.0391634332348798
35;technician;married;tertiary;no;0;yes;yes;cellular;23;sep;112;1;62;6;other;no;0;0.0548344386138411
52;unknown;married;secondary;no;142;no;no;cellular;25;aug;112;6;-1;0;unknown;no;0;0.0416730634549541
40;entrepreneur;married;tertiary;no;3571;no;no;unknown;9;jun;222;3;-1;0;unknown;no;0;0.0755770852345094
44;technician;single;secondary;no;33;yes;no;cellular;13;may;195;3;351;10;failure;no;0;0.0668848271397346
45;blue-collar;single;secondary;no;0;yes;no;cellular;26;jul;768;2;91;5;success;no;0;0.386286000795406
30;student;single;secondary;no;3096;no;no;cellular;26;jan;123;1;-1;0;unknown;no;0;0.0574638059549365
48;technician;divorced;secondary;yes;20;no;no;cellular;27;aug;145;3;-1;0;unknown;no;0;0.0594431655539909
33;blue-collar;married;secondary;no;3576;yes;no;cellular;2;apr;124;1;308;2;other;no;0;0.060570923889815
57;technician;married;unknown;no;206;yes;no;unknown;5;may;216;3;-1;0;unknown;no;0;0.0846365340434489
57;housemaid;married;primary;no;7082;no;no;unknown;6;jun;69;3;-1;0;unknown;no;0;0.0608597333349568
51;unemployed;married;tertiary;no;1634;yes;no;cellular;22;jul;168;4;-1;0;unknown;no;0;0.0628370384273723
34;admin.;single;secondary;no;1;yes;no;cellular;22;jul;483;7;-1;0;unknown;no;0;0.103950058107168
50;self-employed;married;tertiary;no;4012;no;no;cellular;19;nov;690;3;-1;0;unknown;no;0;0.336418048725096
44;management;married;tertiary;no;3762;no;no;cellular;28;aug;125;12;-1;0;unknown;no;0;0.0234189064000098
27;admin.;married;secondary;no;-247;yes;yes;unknown;4;jun;344;2;-1;0;unknown;no;0;0.0968610254405196
50;blue-collar;married;secondary;no;606;yes;no;unknown;14;may;673;2;-1;0;unknown;no;0;0.327093082740229
36;management;married;tertiary;no;0;yes;no;cellular;28;jan;60;1;250;1;other;no;0;0.0465235811879312
42;management;married;secondary;no;-189;yes;no;unknown;12;may;247;2;-1;0;unknown;no;0;0.0849176553418996
32;unemployed;single;secondary;no;0;no;no;cellular;27;may;123;2;-1;0;unknown;no;0;0.0496391188844107
42;management;married;tertiary;no;484;yes;no;cellular;11;jul;144;2;-1;0;unknown;no;0;0.0612232418480725
43;technician;married;secondary;no;0;no;yes;cellular;8;may;9;2;172;5;failure;no;0;0.0386770402203433
31;management;married;tertiary;no;395;yes;no;cellular;9;feb;155;3;-1;0;unknown;no;0;0.0499759100964785
